function,thinking_time,level,died_count,win_count,scores_mean,scores_std,num_moves_mean,num_moves_std,times_mean,times_std
max_visits_50_reward_50,2,1,3,7,0.5,0.916515139,13.8,4.915282291,28.71389649,10.20140196
max_visits_25_reward_75,2,1,0,10,1.1,0,16.6,1.280624847,34.54400613,2.68334706
max_visits_75_reward_25,2,1,5,5,0.1,1,10.7,6.293647591,22.28298926,13.04513256
max_reward_optimistic,2,1,0,10,1.1,0,16.6,1.280624847,34.54442542,2.646130005
max_reward_pessimistic,2,1,10,0,-0.9,0,4.3,1.417744688,9.010540152,2.953066883
max_reward_median,2,1,10,0,-0.9,0,7.3,2.368543856,15.2293036,4.904665435
max_reward,0.1,2,0,10,1.1,0,25.2,2.227105745,4.531123471,0.402344634
max_visits,0.1,2,7,3,-0.3,0.916515139,18.3,11.26099463,3.332338285,2.005680498
max_visits_50_reward_50,0.1,2,4,6,0.3,0.979795897,22.7,9.24175308,4.11295104,1.661060657
max_visits_25_reward_75,0.1,2,0,10,1.1,0,24.2,1.886796226,4.393364525,0.333398364
max_visits_75_reward_25,0.1,2,8,2,-0.51,0.805543295,14.9,10.56834897,2.730318356,1.882191095
max_reward_optimistic,0.1,2,4,6,0.3,0.979795897,20,11.34900877,3.645043206,2.012287746
max_reward_pessimistic,0.1,2,10,0,-0.9,0,13.9,4.369210455,2.580370641,0.789870185
max_reward_median,0.1,2,10,0,-0.9,0,7.9,2.071231518,1.524554181,0.374808304
max_reward,0.5,2,0,10,1.1,0,22,0,12.80301931,0.053299111
max_visits,0.5,2,5,5,0.1,1,19.1,9.20271699,11.1204093,5.292884313
max_visits_50_reward_50,0.5,2,3,7,0.5,0.916515139,21.7,7.823681998,12.61648731,4.531094735
max_visits_25_reward_75,0.5,2,0,10,1.1,0,22.4,0.8,13.00491061,0.490547788
max_visits_75_reward_25,0.5,2,6,4,-0.1,0.979795897,13.7,8.414867795,7.968117404,4.856663126
max_reward_optimistic,0.5,2,2,8,0.7,0.8,20.6,6.452906322,12.01153948,3.73858917
max_reward_pessimistic,0.5,2,10,0,-0.9,0,4,1,2.379563427,0.582400373
max_reward_median,0.5,2,10,0,-0.9,0,6,1.673320053,3.545316386,0.968162455
max_reward,1,2,0,10,1.1,0,22.2,0.6,23.99981656,0.697867368
max_visits,1,2,4,6,0.3,0.979795897,16.6,8.879189152,17.9678293,9.58610927
max_visits_50_reward_50,1,2,2,8,0.7,0.8,20,7.113367698,21.65604696,7.689184756
max_visits_25_reward_75,1,2,0,10,1.1,0,22.2,0.6,24.00018895,0.658156621
max_visits_75_reward_25,1,2,2,8,0.7,0.8,20,6.618156843,21.6520839,7.126734427
max_reward_optimistic,1,2,0,10,1.1,0,22.4,1.2,24.23681951,1.304978052
max_reward_pessimistic,1,2,10,0,-0.9,0,5.2,1.661324773,5.697558594,1.792453725
max_reward_median,1,2,10,0,-0.9,0,5.6,1.854723699,6.114668202,2.001442487
max_reward,2,2,2,8,0.7,0.8,19.2,7.208328516,40.03409426,15.00960588
max_visits,2,2,6,4,-0.1,0.979795897,13.1,8.251666498,27.30387843,17.14349929
max_visits_50_reward_50,2,2,0,10,1.1,0,22.8,0.979795897,47.44490268,1.997517514
max_visits_25_reward_75,2,2,0,10,1.1,0,22.2,0.6,46.31926091,1.252382197
max_visits_75_reward_25,2,2,7,3,-0.3,0.916515139,9.6,8.175573374,20.0287885,16.97776389
max_reward_optimistic,2,2,0,10,1.1,0,22.2,0.6,46.27434843,1.301144081
max_reward_pessimistic,2,2,10,0,-0.9,0,4.2,0.979795897,8.81165247,2.029650877
max_reward_median,2,2,10,0,-0.9,0,6.2,2.749545417,12.96801479,5.703351646
max_reward,0.1,3,0,10,1.1,0,16,1.549193338,2.972211146,0.295496134
max_visits,0.1,3,8,2,-0.5,0.8,7.4,8.272847152,1.4039186,1.467955613
max_visits_50_reward_50,0.1,3,3,7,0.5,0.916515139,12.3,7.603288762,2.31198175,1.368726602
max_visits_25_reward_75,0.1,3,0,10,1.1,0,16.2,1.661324773,2.993993759,0.300067915
max_visits_75_reward_25,0.1,3,7,3,-0.3,0.916515139,5.1,6.284106937,0.994656992,1.120946022
max_reward_optimistic,0.1,3,5,5,0.1,1,10.7,7.114070565,2.014689326,1.283124662
max_reward_pessimistic,0.1,3,10,0,-0.9,0,4.1,0.943398113,0.805826521,0.171350459
max_reward_median,0.1,3,10,0,-0.9,0,2.6,1.496662955,0.558887434,0.277429367
max_reward,0.5,3,0,10,1.1,0,15,1.341640786,8.74676652,0.790718451
max_visits,0.5,3,7,3,-0.3,0.916515139,6.9,6.503076195,4.067971754,3.752606747
max_visits_50_reward_50,0.5,3,3,7,0.5,0.916515139,12.3,7.197916365,7.196621633,4.172205918
max_visits_25_reward_75,0.5,3,0,10,1.1,0,15.6,1.959591794,9.115534258,1.123547862
max_visits_75_reward_25,0.5,3,8,2,-0.5,0.8,6.8,6.462197769,4.037856627,3.749899337
max_reward_optimistic,0.5,3,0,10,1.1,0,15.4,1.562049935,8.978766131,0.940243164
max_reward_pessimistic,0.5,3,10,0,-0.9,0,1.2,0.6,0.776791883,0.364930665
max_reward_median,0.5,3,10,0,-0.9,0,2.3,1.676305461,1.407014513,0.967020963
max_reward,1,3,0,10,1.1,0,14.4,1.2,15.63290911,1.287265167
max_visits,1,3,6,4,-0.1,0.979795897,8.2,6.939740629,8.928187799,7.481873659
max_visits_50_reward_50,1,3,6,4,-0.1,0.979795897,9.2,7.560423269,10.00654728,8.148489151
max_visits_25_reward_75,1,3,0,10,1.1,0,15.8,1.661324773,17.12968478,1.786715012
max_visits_75_reward_25,1,3,8,2,-0.5,0.8,6,7.155417528,6.573169446,7.737740128
max_reward_optimistic,1,3,0,10,1.1,0,16.2,1.661324773,17.59299829,1.807176699
max_reward_pessimistic,1,3,10,0,-0.9,0,1,0,1.164618349,0.025982738
max_reward_median,1,3,10,0,-0.9,0,2,1,2.247595692,1.093288754
max_reward,2,3,0,10,1.1,0,15.6,1.743559577,32.51027288,3.62957013
max_visits,2,3,5,5,0.1,1,10.1,9.170059978,21.07674975,19.06064224
max_visits_50_reward_50,2,3,2,8,0.7,0.8,16.2,3.249615362,33.76770313,6.767466175
