function,thinking_time,died_count,lived_count,snake_len_mean,snake_len_std,num_moves_mean,num_moves_std,times_mean,times_std
max_reward,0.1,50,0,11.66,6.607904357661361,141.26,90.14938934901335,27.00039426803589,17.565878965708237
max_reward,0.5,49,1,15.96,11.7370524408814,105.86,72.11712972657745,62.3800123167038,43.131371238547906
max_reward,1,39,11,15.76,9.222927951578066,87.04,49.823271670977206,95.04276382923126,54.55701931141397
max_reward,2,31,19,11.96,4.408900089591508,58.94,24.319054257927057,123.36907565116883,50.946534915252364
max_visits,0.1,50,0,9.62,3.5770937924521915,145.84,74.9219220255327,27.294525923728944,14.074126657195881
max_visits,0.5,49,1,15.94,8.976435818296704,131.32,83.25465512510397,77.39594424247741,49.536235572050934
max_visits,1,43,7,13.94,6.586076221848636,84.4,44.085371723509375,92.230168633461,48.34335147793832
max_visits,2,31,19,13.12,3.9529229691457433,65.88,21.415545755361922,137.82614133358,44.91431121494127
max_visits_50_reward_50,0.1,50,0,13.64,7.0703889567689275,159.4,83.6526150218868,30.399523215293883,16.283268637025213
max_visits_50_reward_50,0.5,47,3,21.7,13.462912017836262,148.9,89.66097255774108,88.46952610015869,53.83437602704965
max_visits_50_reward_50,1,39,11,15.16,9.109028488263718,83.92,50.491123972436974,91.77177119255066,55.432946340984905
max_visits_50_reward_50,2,35,15,12.68,4.027108143569031,58.82,24.009739690383984,123.23235488414764,50.28326129883319
max_visits_25_reward_75,0.1,50,0,13.24,6.897999710060881,165.4,94.98631480376528,31.385314326286316,18.314327221010835
max_visits_25_reward_75,0.5,48,2,18.92,13.151182456342093,122.18,86.56135165303277,72.36822739124298,51.94528349261389
max_visits_25_reward_75,1,35,15,18.1,8.863972021616494,100.54,52.9003629477152,109.93777652740478,58.102118192177116
max_visits_25_reward_75,2,28,22,12.42,4.089449840748753,65.04,21.560111316966804,136.16295243263244,45.213660915654344
max_visits_75_reward_25,0.1,50,0,12.56,6.782801780975174,161.98,95.79195999665109,31.024212412834167,18.631484029227252
max_visits_75_reward_25,0.5,46,4,21.36,14.320279326884654,141.18,95.33807004549652,83.94974563598633,57.25534239514184
max_visits_75_reward_25,1,40,10,14.62,8.957432667902115,84.92,49.875781698134816,92.77295758247375,54.778469849799265
max_visits_75_reward_25,2,36,14,11.98,3.5298158592198545,60.26,21.30522001763887,126.16631895065308,44.6430768587612
max_reward_optimistic,0.1,50,0,12.98,5.683273704477025,163.06,87.835393777224,30.968257122039795,16.883278404326376
max_reward_optimistic,0.5,50,0,32.62,5.932587968163641,213.16,43.26863066934289,127.19899355888367,26.166273463173347
max_reward_optimistic,1,6,44,27.6,5.138093031466052,158.14,23.16550021044225,179.42908751010896,29.586856341801397
max_reward_optimistic,2,2,48,16.94,3.068615322910319,85.48,3.6945365067894507,179.24085276126863,8.36428290801595
max_reward_pessimistic,0.1,33,17,4.6,0.6,643.92,274.7365166846228,121.68964784622193,51.61081703654251
max_reward_pessimistic,0.5,0,50,3.0,0.0,308.58,0.8268010643437755,180.2917050600052,0.1739687418374711
max_reward_pessimistic,1,0,50,3.02,0.13999999999999999,166.92,0.2712931993250107,180.71559790611266,0.1839344701163025
max_reward_pessimistic,2,0,50,3.0,0.0,86.34,0.4737087712930805,180.81039638519286,0.7359036193011419
max_reward_median,0.1,50,0,7.04,2.3829393613770367,150.58,101.59706491823472,28.27037485599518,18.98755621403487
max_reward_median,0.5,38,12,6.54,2.0318464508914054,192.22,83.45424854373802,112.1626285791397,48.61199139333289
max_reward_median,1,15,35,5.0,1.8547236990991407,147.2,37.30683583473677,159.59937207698823,40.21286581838056
max_reward_median,2,4,46,4.2,1.3564659966250538,84.68,7.9509496288179315,177.36336815357208,16.5865197508201
