function,thinking_time,scores_mean,scores_std,num_moves_mean,num_moves_std,times_mean,times_std
max_reward,0.1,209.15,65.96080275436314,24.87,3.75141306709885,4.797716243267059,0.7095998706908495
max_reward,0.5,402.33,102.87400594902485,18.63,2.961941930558396,10.536560535430908,1.6958852673701545
max_reward,1,441.18,103.05526478545382,16.78,2.2828929015615254,16.55486581325531,2.4828779347077323
max_reward,2,463.71,97.57482205979163,16.27,2.3188574772935056,28.500590832233428,4.603862837733638
max_reward,4,473.87,103.07974146261718,15.73,1.9942667825544307,48.8082857298851,7.853213804685229
max_visits,0.1,148.4,51.87928295572328,27.18,4.348287019045546,5.138879742622375,0.8216763488270326
max_visits,0.5,248.11,67.39434620203686,21.47,2.9477279385994906,12.136886234283446,1.7154710954724481
max_visits,1,344.18,89.91578059495453,19.1,2.971531591620725,18.811876015663145,3.2354967201738116
max_visits,2,394.91,97.8730907859765,17.91,2.538089832925541,31.572400162220003,5.034111232850263
max_visits,4,448.29,90.70989968024438,16.55,2.2242976419535223,51.19641251564026,8.472883454739643
max_visits_50_reward_50,0.1,217.6,72.2225726487225,24.32,4.059261016490563,4.6333767962455745,0.7596104582415018
max_visits_50_reward_50,0.5,397.26,104.70068003599596,18.52,2.711014570230119,10.464667801856995,1.5806383496678127
max_visits_50_reward_50,1,443.32,102.28850179761166,16.66,2.4503877244224026,16.345911116600035,2.6387741126702324
max_visits_50_reward_50,2,460.27,104.69640442727724,16.55,2.2951034835057,29.013220527172088,4.6926937690124
max_visits_50_reward_50,4,478.2,101.52782869735766,15.74,2.207351353998724,49.13041588783264,8.36375994224599
max_visits_25_reward_75,0.1,215.49,71.24780628201826,24.71,4.045478958046871,4.761814980506897,0.7797310380017141
max_visits_25_reward_75,0.5,374.64,98.56099837156682,18.54,2.5977682729604656,10.466040184497833,1.5230475078769694
max_visits_25_reward_75,1,432.68,104.1962456137456,17.06,2.7634036983401464,16.791127874851227,2.92640882201399
max_visits_25_reward_75,2,454.14,103.39545637986227,16.5,2.3302360395462087,28.998340718746185,4.806707170871035
max_visits_25_reward_75,4,479.15,102.27447139926952,15.55,2.1230873745562144,48.03788215637207,7.754855309882054
max_visits_75_reward_25,0.1,228.28,80.07884614553333,24.42,4.128389516506406,4.669915447235107,0.7858234469034608
max_visits_75_reward_25,0.5,400.63,94.24093112867678,18.33,2.778686740170615,10.331790134906768,1.6496866022081726
max_visits_75_reward_25,1,448.52,112.10169311834677,17.16,2.4483463807231196,16.95858850479126,2.628582689194093
max_visits_75_reward_25,2,454.54,99.68755388713276,16.28,2.1958141997901373,28.548611862659456,4.45243059113322
max_visits_75_reward_25,4,481.98,100.44650118346583,15.82,1.9666214684071766,49.33732391834259,7.705797358351715
max_reward_optimistic,0.1,216.01,82.48436154811408,24.47,3.874157973031043,4.7023861742019655,0.7605336018641966
max_reward_optimistic,0.5,391.64,98.13373731800904,18.46,2.372424919781446,10.399345633983613,1.3983624038700369
max_reward_optimistic,1,450.1,108.29187411805191,16.9,2.692582403567252,16.712754993438722,2.876306072184727
max_reward_optimistic,2,462.05,108.36257425882793,16.55,2.48746859276655,29.41453638076782,5.212566999208143
max_reward_optimistic,4,482.21,104.23658618738432,15.81,2.373583788283026,49.7183141541481,9.10197087658222
max_reward_pessimistic,0.1,198.98,69.61666179873896,22.68,3.630096417452297,4.440578544139862,0.7471271699716114
max_reward_pessimistic,0.5,310.88,93.80322808944264,19.14,3.1686590223626143,10.87823609828949,1.8780792962929043
max_reward_pessimistic,1,421.58,117.41841252546382,16.92,2.44409492450682,16.685700573921203,2.6462996063035424
max_reward_pessimistic,2,455.93,98.75001316455608,16.17,2.073909351924524,28.18259499311447,3.9996883768139604
max_reward_pessimistic,4,466.35,102.645737855987,15.69,2.0430124816065125,48.88280462026596,8.033684676394634
max_reward_median,0.1,209.22,72.238435752721,24.68,4.342533822551069,4.753566024303436,0.8141501340492988
max_reward_median,0.5,364.79,104.7721618560961,18.67,2.7315014186340814,10.53702245950699,1.596029661143485
max_reward_median,1,419.65,115.14776376465154,17.17,2.4497142690526177,16.846062507629394,2.701099054536545
max_reward_median,2,444.18,106.33479016765868,16.62,2.3098917723564454,29.222318198680878,4.776049811776946
max_reward_median,4,450.24,106.71458382058191,15.96,2.073258305180519,50.266024074554444,7.823507355369967
