function,thinking_time,level,died_count,win_count,scores_mean,scores_std,num_moves_mean,num_moves_std,times_mean,times_std
max_reward,2,1,3,7,0.5,0.9165151389911681,12.5,5.352569476429054,26.01186776161194,11.114804663668947
max_visits,2,1,4,6,0.3000000000000001,0.9797958971132713,12.7,6.3095166217389425,26.41229667663574,13.090087269508464
max_visits_50_reward_50,2,1,2,8,0.7,0.8000000000000002,13.6,4.8,28.305932259559633,9.969227665469676
max_visits_25_reward_75,2,1,0,10,1.1,0.0,16.0,0.0,33.29369516372681,0.053156371244811734
max_visits_75_reward_25,2,1,1,9,0.9,0.6000000000000001,14.8,3.6,30.813839054107667,7.481701771728432
max_reward_optimistic,2,1,0,10,1.1,0.0,16.6,0.9165151389911679,34.53258774280548,1.9057784219344873
max_reward_pessimistic,2,1,10,0,-0.9,0.0,4.0,2.04939015319192,8.377496337890625,4.270956496205391
max_reward_median,2,1,10,0,-0.9,0.0,7.2,3.249615361854384,15.0264573097229,6.7285882831353065
max_reward,0.1,2,0,10,1.1,0.0,26.4,2.154065922853802,4.727970027923584,0.36814685019031407
max_visits,0.1,2,6,4,-0.09999999999999999,0.9797958971132713,17.5,10.726136303441235,3.154077649116516,1.8740002230127553
max_visits_50_reward_50,0.1,2,0,10,1.1,0.0,25.6,2.3323807579381204,4.5537927627563475,0.4249119182858219
max_visits_25_reward_75,0.1,2,0,10,1.1,0.0,27.0,2.23606797749979,4.814904522895813,0.39734187335997856
max_visits_75_reward_25,0.1,2,0,10,1.1,0.0,25.0,2.04939015319192,4.4671851873397825,0.3689803666018043
max_reward_optimistic,0.1,2,0,10,1.1,0.0,26.6,3.4698703145794942,4.760773611068726,0.622924459858622
max_reward_pessimistic,0.1,2,10,0,-0.9,0.0,15.7,1.9519221295943134,2.823330807685852,0.3382318034893917
max_reward_median,0.1,2,10,0,-0.9,0.0,8.8,2.891366458960192,1.620479941368103,0.5084852720630522
max_reward,0.5,2,0,10,1.1,0.0,23.0,1.8439088914585775,13.304921197891236,1.0652563714068142
max_visits,0.5,2,10,0,-0.9,0.0,7.7,2.9681644159311658,4.508458399772644,1.7094742960655391
max_visits_50_reward_50,0.5,2,0,10,1.1,0.0,23.0,1.61245154965971,13.284395933151245,0.9093317269973661
max_visits_25_reward_75,0.5,2,0,10,1.1,0.0,23.2,1.6,13.440672254562378,0.946170138823498
max_visits_75_reward_25,0.5,2,0,10,1.1,0.0,23.4,1.2806248474865698,13.542825627326966,0.7349190942041027
max_reward_optimistic,0.5,2,0,10,1.1,0.0,26.4,2.1540659228538015,15.259885549545288,1.2347400474231973
max_reward_pessimistic,0.5,2,10,0,-0.9,0.0,5.1,0.3,3.003315281867981,0.1752827439148459
max_reward_median,0.5,2,10,0,-0.9,0.0,6.5,1.857417562100671,3.805270290374756,1.071515125026378
max_reward,1,2,0,10,1.1,0.0,23.6,1.9595917942265424,25.46690716743469,2.099386666750847
max_visits,1,2,9,1,-0.7000000000000001,0.6000000000000001,12.0,5.176871642217914,12.97998354434967,5.552942852213438
max_visits_50_reward_50,1,2,0,10,1.1,0.0,22.2,0.6,23.922084426879884,0.6384084626156823
max_visits_25_reward_75,1,2,1,9,0.9,0.6000000000000001,20.3,5.1000000000000005,21.89666028022766,5.492975646105449
max_visits_75_reward_25,1,2,1,9,0.9,0.6000000000000001,21.3,5.797413216254298,22.98811662197113,6.207325348583205
max_reward_optimistic,1,2,0,10,1.1,0.0,26.2,1.6613247725836147,28.25746581554413,1.8151511441668449
max_reward_pessimistic,1,2,10,0,-0.9,0.0,3.4,0.8,3.7411153316497803,0.8577478316850685
max_reward_median,1,2,10,0,-0.9,0.0,8.1,4.182104733265297,8.779691982269288,4.504376824709195
max_reward,2,2,3,7,0.5000000000000001,0.9165151389911681,17.4,8.946507698538015,36.25355017185211,18.58015248370652
max_visits,2,2,9,1,-0.7000000000000001,0.6000000000000001,7.7,6.277738446287803,16.07553951740265,13.05881708276356
max_visits_50_reward_50,2,2,3,7,0.5000000000000001,0.9165151389911681,17.2,8.818163074019441,35.81326026916504,18.318403247990375
max_visits_25_reward_75,2,2,2,8,0.7,0.8000000000000002,18.4,7.2,38.29792053699494,14.963911547827696
max_visits_75_reward_25,2,2,1,9,0.9,0.6000000000000001,20.4,5.499090833947008,42.45793237686157,11.436205940232517
max_reward_optimistic,2,2,0,10,1.1,0.0,24.0,2.1908902300206643,50.06396646499634,4.574896319454892
max_reward_pessimistic,2,2,10,0,-0.9,0.0,3.0,0.0,6.312583661079406,0.043699939864388256
max_reward_median,2,2,10,0,-0.9,0.0,6.9,2.4677925358506134,14.417081260681153,5.108625329634286
max_reward,0.1,3,0,10,1.1,0.0,14.0,0.0,2.5278782844543457,0.03482789872848505
max_visits,0.1,3,8,2,-0.5000000000000001,0.8,7.3,5.496362433464518,1.3505608797073365,0.9637441410603096
max_visits_50_reward_50,0.1,3,0,10,1.1,0.0,15.8,1.8867962264113207,2.8531992435455322,0.3405018039965174
max_visits_25_reward_75,0.1,3,0,10,1.1,0.0,15.2,1.6,2.739811825752258,0.276382269724068
max_visits_75_reward_25,0.1,3,0,10,1.1,0.0,15.4,1.8,2.7845955371856688,0.31626030768125235
max_reward_optimistic,0.1,3,0,10,1.1,0.0,15.0,1.61245154965971,2.70013484954834,0.26537903125645546
max_reward_pessimistic,0.1,3,10,0,-0.9,0.0,5.2,0.39999999999999997,1.0018274068832398,0.08541423211520724
max_reward_median,0.1,3,10,0,-0.9,0.0,3.4,2.8,0.6941250801086426,0.5068553650192428
max_reward,0.5,3,0,10,1.1,0.0,14.0,0.0,8.137606883049012,0.03684476812559577
max_visits,0.5,3,8,2,-0.5000000000000001,0.8,6.1,4.085339643163099,3.588121247291565,2.3601061981153313
max_visits_50_reward_50,0.5,3,0,10,1.1,0.0,14.0,0.0,8.119958543777466,0.038035430215489725
max_visits_25_reward_75,0.5,3,0,10,1.1,0.0,14.2,0.6,8.242088627815246,0.35568520358271505
max_visits_75_reward_25,0.5,3,0,10,1.1,0.0,14.4,1.2,8.356724715232849,0.6917013174099141
max_reward_optimistic,0.5,3,0,10,1.1,0.0,15.4,1.8,8.932053375244141,1.0275010178484032
max_reward_pessimistic,0.5,3,10,0,-0.9,0.0,1.0,0.0,0.6517986297607422,0.018728474809639673
max_reward_median,0.5,3,10,0,-0.9,0.0,2.4,1.2806248474865698,1.4601537704467773,0.7473389541362889
max_reward,1,3,0,10,1.1,0.0,14.0,0.0,15.135015511512757,0.03505601050108945
max_visits,1,3,8,2,-0.5000000000000001,0.8,6.3,4.075536774462967,6.848352098464966,4.355960373327745
max_visits_50_reward_50,1,3,0,10,1.1,0.0,14.0,0.0,15.133165431022643,0.04228586029427634
max_visits_25_reward_75,1,3,0,10,1.1,0.0,14.0,0.0,15.136236190795898,0.03532002521705173
max_visits_75_reward_25,1,3,0,10,1.1,0.0,14.0,0.0,15.139101219177245,0.06456861933790706
max_reward_optimistic,1,3,0,10,1.1,0.0,14.0,0.0,15.128753566741944,0.03934377278402481
max_reward_pessimistic,1,3,10,0,-0.9,0.0,1.0,0.0,1.153628134727478,0.018968039704174478
max_reward_median,1,3,10,0,-0.9,0.0,1.9,1.1357816691600546,2.1182595014572145,1.2181427803481786
max_reward,2,3,0,10,1.1,0.0,14.0,0.0,29.171118021011353,0.06454042224262772
max_visits,2,3,4,6,0.30000000000000004,0.9797958971132714,9.8,5.249761899362675,20.44543890953064,10.900985876630582
max_visits_50_reward_50,2,3,0,10,1.1,0.0,14.0,0.0,29.19424948692322,0.06517841516777655
max_visits_25_reward_75,2,3,0,10,1.1,0.0,14.0,0.0,29.186598539352417,0.031292986530591455
max_visits_75_reward_25,2,3,0,10,1.1,0.0,14.0,0.0,29.19624924659729,0.04676458381712845
max_reward_optimistic,2,3,0,10,1.1,0.0,14.0,0.0,29.19169373512268,0.04573308577926486
max_reward_pessimistic,2,3,10,0,-0.9,0.0,1.0,0.0,2.163251781463623,0.02237937232557672
max_reward_median,2,3,10,0,-0.9,0.0,2.9,2.211334438749598,6.112412810325623,4.594436983680506
max_reward,0.1,4,0,10,1.1,0.0,15.4,1.5620499351813308,2.8170755386352537,0.29013222241809655
max_visits,0.1,4,5,5,0.10000000000000005,1.0,9.7,5.197114584074513,1.8011540412902831,0.9074225259363704
max_visits_50_reward_50,0.1,4,0,10,1.1,0.0,15.0,1.61245154965971,2.726989722251892,0.29695946710999593
max_visits_25_reward_75,0.1,4,0,10,1.1,0.0,15.4,1.5620499351813308,2.8002660989761354,0.28437689399353894
max_visits_75_reward_25,0.1,4,0,10,1.1,0.0,16.0,1.5491933384829668,2.940353441238403,0.2620999968273825
max_reward_optimistic,0.1,4,0,10,1.1,0.0,15.4,1.8,2.8012479543685913,0.3156978626116075
max_reward_pessimistic,0.1,4,10,0,-0.9,0.0,5.5,1.3601470508735443,1.045078945159912,0.24459300831688804
max_reward_median,0.1,4,10,0,-0.9,0.0,2.0,1.61245154965971,0.4276297092437744,0.28879965101113697
max_reward,0.5,4,0,10,1.1,0.0,14.8,1.5999999999999999,8.589674472808838,0.9233892588620598
max_visits,0.5,4,6,4,-0.1,0.9797958971132713,8.6,5.76541412215983,5.021130108833313,3.3167948242098477
max_visits_50_reward_50,0.5,4,0,10,1.1,0.0,14.2,0.6,8.245123410224915,0.34452662155060837
max_visits_25_reward_75,0.5,4,0,10,1.1,0.0,14.4,0.7999999999999999,8.354518151283264,0.44569436054689676
max_visits_75_reward_25,0.5,4,0,10,1.1,0.0,14.0,0.0,8.136366057395936,0.03872058018438953
max_reward_optimistic,0.5,4,0,10,1.1,0.0,14.4,1.2,8.353674173355103,0.7026467355576828
max_reward_pessimistic,0.5,4,10,0,-0.9,0.0,1.0,0.0,0.6517756700515747,0.020373502575237325
max_reward_median,0.5,4,10,0,-0.9,0.0,2.6,1.42828568570857,1.5852602005004883,0.8304677968687115
max_reward,1,4,0,10,1.1,0.0,14.2,0.6,15.352340507507325,0.6781606604964205
max_visits,1,4,8,2,-0.5000000000000001,0.8,5.1,5.127377497317708,5.5602936267852785,5.5089989264374335
max_visits_50_reward_50,1,4,0,10,1.1,0.0,14.4,1.2,15.5828706741333,1.2879806643134117
max_visits_25_reward_75,1,4,0,10,1.1,0.0,14.0,0.0,15.136464691162109,0.03543862140017996
max_visits_75_reward_25,1,4,0,10,1.1,0.0,14.0,0.0,15.139207887649537,0.0610048743051442
max_reward_optimistic,1,4,0,10,1.1,0.0,15.2,1.8330302779823362,16.43611924648285,1.9876290235396281
max_reward_pessimistic,1,4,10,0,-0.9,0.0,1.0,0.0,1.1555585384368896,0.023379480275358647
max_reward_median,1,4,10,0,-0.9,0.0,2.2,1.2489995996796797,2.4364041805267336,1.3416558381290893
max_reward,2,4,0,10,1.1,0.0,14.4,1.2,29.982297515869142,2.481198096539075
max_visits,2,4,9,1,-0.7000000000000001,0.6000000000000001,4.6,3.6660605559646724,9.638519597053527,7.6082330009999
max_visits_50_reward_50,2,4,0,10,1.1,0.0,14.0,0.0,29.18689932823181,0.040762603204053845
max_visits_25_reward_75,2,4,0,10,1.1,0.0,14.4,1.2,30.013778424263002,2.4979916519043504
max_visits_75_reward_25,2,4,0,10,1.1,0.0,14.0,0.0,29.16930756568909,0.040956757842195914
max_reward_optimistic,2,4,0,10,1.1,0.0,14.0,0.0,29.164761328697203,0.06872213667590647
max_reward_pessimistic,2,4,10,0,-0.9,0.0,1.0,0.0,2.15764000415802,0.02357012542063469
max_reward_median,2,4,10,0,-0.9,0.0,2.4,1.4966629547095767,5.057435464859009,3.1054639137021085
max_reward,0.1,5,8,2,-0.5,0.8000000000000002,22.8,2.85657137141714,4.067982482910156,0.5133743970693605
max_visits,0.1,5,10,0,-0.9,0.0,8.7,8.764131445842194,1.5937249183654785,1.5552195837373184
max_visits_50_reward_50,0.1,5,9,1,-0.7000000000000001,0.6000000000000001,23.5,3.0740852297878796,4.203633117675781,0.5554436051219911
max_visits_25_reward_75,0.1,5,10,0,-0.9,0.0,21.6,0.9165151389911681,3.874697136878967,0.16580653643288845
max_visits_75_reward_25,0.1,5,9,1,-0.7000000000000001,0.6000000000000001,23.4,4.152107898405339,4.17709629535675,0.7201835584667624
max_reward_optimistic,0.1,5,8,2,-0.5,0.8000000000000002,28.0,3.3466401061363023,5.009370613098144,0.5879841608992765
max_reward_pessimistic,0.1,5,10,0,-0.9,0.0,18.1,3.9102429592034307,3.247335362434387,0.6734479147763157
max_reward_median,0.1,5,10,0,-0.9,0.0,2.6,1.42828568570857,0.5334923505783081,0.25677168058457805
max_reward,0.5,5,8,2,-0.5000000000000001,0.8,23.0,4.669047011971501,13.334670352935792,2.7081229163600824
max_visits,0.5,5,10,0,-0.9,0.0,7.2,7.277362159464101,4.2244163990020756,4.1959376785184395
max_visits_50_reward_50,0.5,5,9,1,-0.7000000000000001,0.6000000000000001,20.9,3.9610604640676716,12.114492201805115,2.2837913840430666
max_visits_25_reward_75,0.5,5,8,2,-0.5000000000000001,0.8,23.2,4.308131845707604,13.449521994590759,2.503844985141483
max_visits_75_reward_25,0.5,5,8,2,-0.5,0.8000000000000002,22.4,4.2708313008125245,12.9563645362854,2.4737706214051496
max_reward_optimistic,0.5,5,2,8,0.7,0.8000000000000002,20.2,2.9933259094191533,11.721944570541382,1.7312060382113084
max_reward_pessimistic,0.5,5,10,0,-0.9,0.0,1.0,0.0,0.6514562606811524,0.01630119386946602
max_reward_median,0.5,5,10,0,-0.9,0.0,2.3,1.1,1.4012722730636598,0.6344097328524139
max_reward,1,5,7,3,-0.30000000000000004,0.9165151389911681,26.1,2.662705391138869,28.183643674850465,2.8727801271853664
max_visits,1,5,10,0,-0.9,0.0,9.6,9.024411338142782,10.42479054927826,9.711438714553772
max_visits_50_reward_50,1,5,8,2,-0.5000000000000001,0.8,24.0,3.1304951684997055,25.94535732269287,3.395312955393663
max_visits_25_reward_75,1,5,8,2,-0.5000000000000001,0.8,24.2,4.019950248448356,26.150913405418397,4.320951504848179
max_visits_75_reward_25,1,5,7,3,-0.30000000000000004,0.9165151389911681,25.0,3.605551275463989,26.99189987182617,3.8771544207911655
max_reward_optimistic,1,5,0,10,1.1,0.0,18.6,0.9165151389911679,20.099319958686827,1.0000422346733762
max_reward_pessimistic,1,5,10,0,-0.9,0.0,1.0,0.0,1.1631781816482545,0.032094357412127836
max_reward_median,1,5,10,0,-0.9,0.0,2.2,0.9797958971132713,2.439698076248169,1.0460461220326125
max_reward,2,5,9,1,-0.7,0.6000000000000001,16.9,4.437341546466758,35.15934054851532,9.232146899299748
max_visits,2,5,10,0,-0.9,0.0,6.4,6.988562083862459,13.376097202301025,14.504943727983434
max_visits_50_reward_50,2,5,10,0,-0.9,0.0,15.2,0.6,31.69432897567749,1.27089209008862
max_visits_25_reward_75,2,5,10,0,-0.9,0.0,15.2,0.6,31.697378206253052,1.238025995487038
max_visits_75_reward_25,2,5,10,0,-0.9,0.0,15.0,0.0,31.255936789512635,0.042039388287519
max_reward_optimistic,2,5,0,10,1.1,0.0,18.2,0.6,37.94130806922912,1.2539805223474614
max_reward_pessimistic,2,5,10,0,-0.9,0.0,1.0,0.0,2.1584269523620607,0.020336856716091863
max_reward_median,2,5,10,0,-0.9,0.0,2.4,1.8,5.0694982528686525,3.7504334881545636
max_reward,0.1,6,2,8,0.7,0.8000000000000002,24.8,11.417530380953666,4.441148138046264,2.0087059295130945
max_visits,0.1,6,9,1,-0.7,0.6000000000000001,8.9,7.105631569396206,1.646970844268799,1.2526185696149248
max_visits_50_reward_50,0.1,6,1,9,0.9,0.6000000000000001,23.9,8.129575634681062,4.32083535194397,1.4404727478066794
max_visits_25_reward_75,0.1,6,0,10,1.1,0.0,27.4,5.589275444992848,4.905051326751709,0.9968111455725046
max_visits_75_reward_25,0.1,6,0,10,1.1,0.0,29.6,5.9194594347794975,5.312829780578613,1.0331763739979516
max_reward_optimistic,0.1,6,0,10,1.1,0.0,29.8,6.896375859826668,5.3536440372467045,1.2327716623158353
max_reward_pessimistic,0.1,6,10,0,-0.9,0.0,11.6,4.7791212581394085,2.123353600502014,0.8534828014486818
max_reward_median,0.1,6,10,0,-0.9,0.0,4.8,1.9390719429665317,0.9285256862640381,0.34410976340425675
max_reward,0.5,6,1,9,0.9,0.6000000000000001,27.9,9.924212815130478,16.19102246761322,5.724039163472124
max_visits,0.5,6,9,1,-0.7000000000000001,0.6000000000000001,10.2,7.345747068882782,5.953520917892456,4.220946705686033
max_visits_50_reward_50,0.5,6,1,9,0.9,0.6000000000000001,27.3,9.550392662084633,15.821713662147522,5.516103881544029
max_visits_25_reward_75,0.5,6,0,10,1.1,0.0,32.4,4.5431266766402185,18.79506959915161,2.6259071852743165
max_visits_75_reward_25,0.5,6,1,9,0.9,0.6000000000000001,28.9,9.822932352408825,16.770404148101807,5.662382731400735
max_reward_optimistic,0.5,6,0,10,1.1,0.0,29.8,4.770744176750625,17.282906126976012,2.7680490105639675
max_reward_pessimistic,0.5,6,10,0,-0.9,0.0,4.0,0.0,2.3788301944732666,0.02596332087993929
max_reward_median,0.5,6,10,0,-0.9,0.0,4.6,1.2806248474865698,2.7199791431427003,0.7375083498147603
max_reward,1,6,0,10,1.1,0.0,31.2,4.4,33.69567813873291,4.777469270754842
max_visits,1,6,9,1,-0.7000000000000001,0.6000000000000001,10.3,6.245798587850876,11.164964270591735,6.7373397884925526
max_visits_50_reward_50,1,6,0,10,1.1,0.0,29.4,5.141984052872976,31.745408010482787,5.5117890522371695
max_visits_25_reward_75,1,6,0,10,1.1,0.0,30.4,5.122499389946279,32.819656658172605,5.553567568922131
max_visits_75_reward_25,1,6,0,10,1.1,0.0,30.8,5.1536394906900505,33.26289579868317,5.563910749372027
max_reward_optimistic,1,6,0,10,1.1,0.0,26.4,5.043808085167396,28.47611484527588,5.399506108910987
max_reward_pessimistic,1,6,10,0,-0.9,0.0,3.0,0.0,3.306084990501404,0.0236565825995475
max_reward_median,1,6,10,0,-0.9,0.0,4.8,1.16619037896906,5.234037899971009,1.2568372981219549
max_reward,2,6,1,9,0.9,0.6000000000000001,22.7,4.001249804748511,47.19218819141388,8.289692230492351
max_visits,2,6,8,2,-0.5000000000000001,0.8,11.1,8.34805366537614,23.119024777412413,17.313649149067448
max_visits_50_reward_50,2,6,0,10,1.1,0.0,25.0,1.0,52.00204982757568,2.1137460074414607
max_visits_25_reward_75,2,6,1,9,0.9,0.6000000000000001,24.5,6.15223536610881,50.94558684825897,12.780885330029333
max_visits_75_reward_25,2,6,0,10,1.1,0.0,24.8,1.32664991614216,51.56097009181976,2.7713827697582256
max_reward_optimistic,2,6,0,10,1.1,0.0,32.4,4.715930449020639,67.36161770820618,9.803850943362642
max_reward_pessimistic,2,6,10,0,-0.9,0.0,3.0,0.0,6.305184030532837,0.030640371767206333
max_reward_median,2,6,10,0,-0.9,0.0,4.7,0.7810249675906654,9.83558530807495,1.6231450094078248
max_reward,0.1,7,0,10,1.1,0.0,11.4,0.7999999999999999,2.068737506866455,0.14471764309028057
max_visits,0.1,7,6,4,-0.1,0.9797958971132713,7.3,3.2264531609803355,1.3481824159622193,0.5515256073141896
max_visits_50_reward_50,0.1,7,0,10,1.1,0.0,11.2,0.6,2.0384769678115844,0.10473865431330073
max_visits_25_reward_75,0.1,7,0,10,1.1,0.0,11.0,0.0,2.0161174297332765,0.02734263800779631
max_visits_75_reward_25,0.1,7,1,9,0.9,0.6000000000000001,10.6,1.9595917942265426,1.9451180458068849,0.3614582589095385
max_reward_optimistic,0.1,7,0,10,1.1,0.0,11.2,0.6,2.0452818870544434,0.11078340448116228
max_reward_pessimistic,0.1,7,10,0,-0.9,0.0,4.1,0.8306623862918074,0.7824853897094727,0.15517707999581573
max_reward_median,0.1,7,10,0,-0.9,0.0,5.3,1.676305461424021,0.9942179441452026,0.2989487685430671
max_reward,0.5,7,1,9,0.9,0.6000000000000001,10.2,2.4,5.95038366317749,1.3876347679825631
max_visits,0.5,7,4,6,0.3000000000000001,0.9797958971132713,9.0,4.0,5.259545922279358,2.2845879319821663
max_visits_50_reward_50,0.5,7,0,10,1.1,0.0,11.0,0.0,6.403562664985657,0.02782912506369382
max_visits_25_reward_75,0.5,7,1,9,0.9,0.6000000000000001,10.4,2.5377155080899043,6.065191602706909,1.4585045300556099
max_visits_75_reward_25,0.5,7,0,10,1.1,0.0,11.0,0.0,6.396163296699524,0.03105730560296395
max_reward_optimistic,0.5,7,0,10,1.1,0.0,11.2,0.6,6.523360991477967,0.33290378923603253
max_reward_pessimistic,0.5,7,10,0,-0.9,0.0,3.9,0.9433981132056604,2.3149752855300902,0.5471891126361204
max_reward_median,0.5,7,10,0,-0.9,0.0,4.6,1.3564659966250536,2.7261343002319336,0.7943860163762853
max_reward,1,7,2,8,0.7,0.8000000000000002,9.4,3.2,10.199440193176269,3.432867399113139
max_visits,1,7,9,1,-0.7000000000000001,0.6000000000000001,4.8,2.3579652245103193,5.237783169746399,2.5329541509912348
max_visits_50_reward_50,1,7,1,9,0.9,0.6000000000000001,10.6,2.65329983228432,11.468838334083557,2.8578373160182244
max_visits_25_reward_75,1,7,1,9,0.9,0.6000000000000001,10.2,2.4,11.054519724845886,2.5804956015167786
max_visits_75_reward_25,1,7,2,8,0.7,0.8000000000000002,10.0,3.255764119219941,10.828512263298034,3.5041521108381706
max_reward_optimistic,1,7,0,10,1.1,0.0,11.2,0.6,12.127838802337646,0.645124373937979
